タイムスタンプ	年月	あなたが所属するチームはどちらですか？	先月で、上流工程の作業において、以下のAIツールをどのくらいの頻度で利用しましたか？ [ChatGPT]	先月で、上流工程の作業において、以下のAIツールをどのくらいの頻度で利用しましたか？ [Gemini]	先月で、上流工程の作業において、以下のAIツールをどのくらいの頻度で利用しましたか？ [genspark]	先月で、上流工程の作業において、以下のAIツールをどのくらいの頻度で利用しましたか？ [bolt.new]	先月で、上流工程の作業において、以下のAIツールをどのくらいの頻度で利用しましたか？ [Notebook LM]	先月で、上流工程の作業において、以下のAIツールをどのくらいの頻度で利用しましたか？ [Devin Search]	先月で、上流工程の作業において、以下のAIツールをどのくらいの頻度で利用しましたか？ [その他のAIツール]	上流工程において、特にどのような作業で上記のAIツールを使用しましたか？（複数選択可）	上流工程の作業において、それぞれのAIツールは担当された作業の生産性向上にどの程度貢献したと感じますか？ [ChatGPT]	上流工程の作業において、それぞれのAIツールは担当された作業の生産性向上にどの程度貢献したと感じますか？ [Gemini]	上流工程の作業において、それぞれのAIツールは担当された作業の生産性向上にどの程度貢献したと感じますか？ [genspark]	上流工程の作業において、それぞれのAIツールは担当された作業の生産性向上にどの程度貢献したと感じますか？ [bolt.new]	上流工程の作業において、それぞれのAIツールは担当された作業の生産性向上にどの程度貢献したと感じますか？ [Notebook LM]	上流工程の作業において、それぞれのAIツールは担当された作業の生産性向上にどの程度貢献したと感じますか？ [Devin Search]	上流工程の作業において、それぞれのAIツールは担当された作業の生産性向上にどの程度貢献したと感じますか？ [その他のAIツール]	上流工程でAIツールを活用したことで、特に効果を実感した作業や具体的なエピソードがあれば教えてください。	上流工程において、AIツールを活用することで、担当作業について、おおよそどの程度の時間や労力が削減できたと感じますか？ [企画・提案の骨子検討]	上流工程において、AIツールを活用することで、担当作業について、おおよそどの程度の時間や労力が削減できたと感じますか？ [提案資料作成]	上流工程において、AIツールを活用することで、担当作業について、おおよそどの程度の時間や労力が削減できたと感じますか？ [仕様・要件整理（UI含む）]	上流工程において、AIツールを活用することで、担当作業について、おおよそどの程度の時間や労力が削減できたと感じますか？ [概要設計・システム構成検討]	上流工程において、AIツールを活用することで、担当作業について、おおよそどの程度の時間や労力が削減できたと感じますか？ [プレゼン・説明内容の整理]	上流工程において、AIツールを活用することで、担当作業について、おおよそどの程度の時間や労力が削減できたと感じますか？ [事務作業]	上流工程において、AIツールを活用することで、担当作業について、おおよそどの程度の時間や労力が削減できたと感じますか？ [その他]	上流工程でAIツールを活用する上で、どのような課題を感じていますか？（複数選択可）	先月、開発工程の作業において、以下のAIツールをどのくらいの頻度で利用しましたか？ [ChatGPT / Gemini / Claude（会話）]	先月、開発工程の作業において、以下のAIツールをどのくらいの頻度で利用しましたか？ [ChatGPT / Gemini / Claude（コーディング）]	先月、開発工程の作業において、以下のAIツールをどのくらいの頻度で利用しましたか？ [Devin (Session / Search / wiki)]	先月、開発工程の作業において、以下のAIツールをどのくらいの頻度で利用しましたか？ [GitHub Copilot]	先月、開発工程の作業において、以下のAIツールをどのくらいの頻度で利用しましたか？ [Cursor]	先月、開発工程の作業において、以下のAIツールをどのくらいの頻度で利用しましたか？ [Claude (ClaudeCode)]	先月、開発工程の作業において、以下のAIツールをどのくらいの頻度で利用しましたか？ [その他]	開発工程の作業において、それぞれのAIツールは担当された作業の生産性向上にどの程度貢献したと感じますか？ [ChatGPT / Gemini / Claude（会話）]	開発工程の作業において、それぞれのAIツールは担当された作業の生産性向上にどの程度貢献したと感じますか？ [ChatGPT / Gemini / Claude（コーディング）]	開発工程の作業において、それぞれのAIツールは担当された作業の生産性向上にどの程度貢献したと感じますか？ [Devin (Session / Search / Wiki)]	開発工程の作業において、それぞれのAIツールは担当された作業の生産性向上にどの程度貢献したと感じますか？ [Cursor]	開発工程の作業において、それぞれのAIツールは担当された作業の生産性向上にどの程度貢献したと感じますか？ [GitHub Copilot]	開発工程の作業において、それぞれのAIツールは担当された作業の生産性向上にどの程度貢献したと感じますか？ [Claude(Claude Code)]	開発工程の作業において、それぞれのAIツールは担当された作業の生産性向上にどの程度貢献したと感じますか？ [その他]	開発工程において、特にどのような作業で上記のAIツールを使用しましたか？（複数選択可）	開発工程において、AIツールを活用することで、おおよそどの程度の時間や労力が削減できたと感じますか？（可能な範囲で、具体的な作業とともにご記入ください） [技術的な調査、問題解決のための情報収集]	開発工程において、AIツールを活用することで、おおよそどの程度の時間や労力が削減できたと感じますか？（可能な範囲で、具体的な作業とともにご記入ください） [設計作業（検討・整理含む）]	開発工程において、AIツールを活用することで、おおよそどの程度の時間や労力が削減できたと感じますか？（可能な範囲で、具体的な作業とともにご記入ください） [コーディング作業]	開発工程において、AIツールを活用することで、おおよそどの程度の時間や労力が削減できたと感じますか？（可能な範囲で、具体的な作業とともにご記入ください） [単体テスト作業（テストケース作成・実行）]	開発工程において、AIツールを活用することで、おおよそどの程度の時間や労力が削減できたと感じますか？（可能な範囲で、具体的な作業とともにご記入ください） [レビュー（コードや設計）]	開発工程において、AIツールを活用することで、おおよそどの程度の時間や労力が削減できたと感じますか？（可能な範囲で、具体的な作業とともにご記入ください） [その他]	開発工程において、AIツールを活用することで、おおよそどの程度の時間や労力が削減できたと感じますか？（可能な範囲で、具体的な作業とともにご記入ください）	開発工程でAIツールを活用する上で、どのような課題を感じていますか？（複数選択可）	ご自身のAIツール活用に関する知識・スキルについて、自己評価をお願いします。	AIツールをより効果的に活用するために、どのようなトレーニングや情報共有があると役立ちますか？（複数選択可）	AIを活用した開発プロセス全体に関して、その他何か意見や要望があれば自由にご記入ください。
5/30/2025 12:29:07	2025年5月	エンジニアリングチーム																									毎日	毎日	週に数回	毎日	ほとんど利用しない		ほとんど利用しない	5:非常に貢献した	5:非常に貢献した	3:どちらともいえない	3:どちらともいえない	5:非常に貢献した		3:どちらともいえない	技術的な調査、問題解決のための情報収集, 設計内容の検討、整理, コーディング, 単体テスト作業（テストケース作成・実行）, レビュー（コードや設計）	30-50%程度	あまり変わらない	10-20%程度	50%以上	10-20%程度	あまり変わらない	"障害や開発中のエラーなどは丸投げ出来るので、想定作業時間の半分程度は削除減できたと感じます。
設計については、意見レベルで、結局それがいいのかの検討などもするので、個人的には大きく貢献しているとは言い難いと感じます。
実装はその一部でこんなことしたいってスクリプトはすぐ出してくれる。UTは、概ね書いてもらい、不足分を追記する感じ。（20～30%程度の削除減にはなるかと感じます）"	今ベストが半年後ベストではないので追い付けないかもという恐怖。	3:普通	何か課題を持ったほうが入りやすいと思うので、全体を巻き込むならノーコーディング大会的な企画	AIハラを勝手に感じている。作業効率化して当たり前だよね圧。
6/2/2025 9:22:04	2025年5月	ディレクターチーム	週に数回	週に数回	月に数回	月に数回	ほとんど利用しない	利用したことがない	月に数回	企画・提案内容のブレインストーミング、アイデア出し, 顧客要望や既存資料の要約、整理, 企画・提案書の構成検討、ドラフト作成, 仕様書・要件定義書の構成検討、ドラフト作成, UI画面イメージの作成、プロトタイピング	5:非常に貢献した	5:非常に貢献した	5:非常に貢献した	5:非常に貢献した	4:貢献した	利用していない/判断できない	5:非常に貢献した	"ノーコードでのLPプロトタイプの作成：AIを使わなかったら作成すら出来なかった。
発表資料の作成：AIを使用していなければ何倍もの時間がかかっていた。
結果効率化されていた。"	100%（依頼してほぼ終わり）	50%以上	100%（依頼してほぼ終わり）	100%（依頼してほぼ終わり）	100%（依頼してほぼ終わり）	50%以上	30-50%程度	出力される情報の精度や信頼性に不安がある, 複雑なニュアンスや前提条件をAIに伝えるのが難しい, AIによる出力結果の確認・修正に時間がかかる場合がある																								3:普通	各ツールの具体的な使い方に関するトレーニング, 効果的なプロンプトの作成方法に関するトレーニング, AIを活用した開発事例の共有会, ツールに関する最新情報の共有, 社内外の専門家によるセミナー	
6/2/2025 9:27:45	2025年5月	エンジニアリングチーム																										毎日	週に数回	月に数回	利用したことがない			4:貢献した	3:どちらともいえない	3:どちらともいえない	利用していない/判断できない	4:貢献した			設計内容の検討、整理, 技術的な調査、問題解決のための情報収集	30-50%程度	10-20%程度	30-50%程度	10-20%程度	10-20%程度		SQLスクリプトやPythonのコード生成では、大まかなコードは作成してもらい、あとはコードの正当性の確認を実施するようなやり方になった。結果的に2〜3割程度の工数は削減されたと思う。	生成されるコードの品質にばらつきがある, AIによるレビューのフィードバックが的確でないことがある	3:普通	効果的なプロンプトの作成方法に関するトレーニング	
6/2/2025 9:31:03	2025年5月	エンジニアリングチーム																									週に数回	週に数回	週に数回	毎日	利用したことがない		利用したことがない	4:貢献した	4:貢献した	4:貢献した	利用していない/判断できない	5:非常に貢献した		利用していない/判断できない	技術的な調査、問題解決のための情報収集, 設計内容の検討、整理, コーディング, 単体テスト作業（テストケース作成・実行）, レビュー（コードや設計）	50%以上	30-50%程度	30-50%程度	30-50%程度	50%以上	むしろ増えてしまった		生成されるコードの品質にばらつきがある, 複雑なロジックや固有のフレームワークに対応できないことがある	3:普通	効果的なプロンプトの作成方法に関するトレーニング, AIを活用した開発事例の共有会, 社内外の専門家によるセミナー	
6/2/2025 9:46:45	2025年5月	エンジニアリングチーム																									毎日	月に数回	週に数回	週に数回	利用したことがない			4:貢献した	4:貢献した	3:どちらともいえない	利用していない/判断できない	4:貢献した			技術的な調査、問題解決のための情報収集, 設計内容の検討、整理, コーディング, レビュー（コードや設計）	30-50%程度	あまり変わらない	10-20%程度	あまり変わらない	10-20%程度		"コードレビューを依頼されたコードに対し、メソッドの戻り値やパターンなどを具体的に検証する事が出来た。
これによって、殆どコメントが付与されていないコードに対するレビュー速度が向上した。
※ただし、コードに適切なコメントが付与されている方がよりレビューの生産性は上がると思う。"	AIによるレビューのフィードバックが的確でないことがある, リポジトリを指定してコードの調査を依頼しても、そのリポジトリ内のコードの構成とは異なる回答をすることがある	3:普通	各ツールの具体的な使い方に関するトレーニング	AIによって生成されたコードには、まだ十分な信頼を置けない状況なので、生成を依頼した人間によるレビューは必ず実施してほしい。
6/2/2025 9:53:39	2025年5月	エンジニアリングチーム																									毎日	毎日	月に数回	毎日	週に数回		ほとんど利用しない	4:貢献した	4:貢献した	4:貢献した	4:貢献した	4:貢献した		利用していない/判断できない	技術的な調査、問題解決のための情報収集, コーディング	30-50%程度	10-20%程度	10-20%程度	50%以上	10-20%程度	10-20%程度		複雑なロジックや固有のフレームワークに対応できないことがある, デバッグが難しくなる場合がある	3:普通	効果的なプロンプトの作成方法に関するトレーニング	
6/2/2025 13:06:33	2025年5月	エンジニアリングチーム																									週に数回	週に数回	週に数回	週に数回	毎日			4:貢献した	4:貢献した	4:貢献した	5:非常に貢献した	4:貢献した			技術的な調査、問題解決のための情報収集, 設計内容の検討、整理, コーディング, 単体テスト作業（テストケース作成・実行）, レビュー（コードや設計）	10-20%程度	あまり変わらない	あまり変わらない	30-50%程度	30-50%程度		コードレビューやテストコード生成については、ほぼ自動化できるレベル。	生成されるコードの品質にばらつきがある, 複雑なロジックや固有のフレームワークに対応できないことがある	5:非常に詳しい	AIを活用した開発事例の共有会	GitHubCopilotで最新モデル（OpenAI o4-mini, Claude4.0, Gemini2.5 Pro/Flashなど）を使用可能にして欲しい。
6/2/2025 13:35:39	2025年5月	ディレクターチーム	毎日	週に数回	ほとんど利用しない	利用したことがない	利用したことがない	月に数回	ほとんど利用しない	企画・提案内容のブレインストーミング、アイデア出し, 仕様書・要件定義書の構成検討、ドラフト作成, 技術的な実現方法の検討、調査	4:貢献した	4:貢献した	2:あまり貢献しなかった	利用していない/判断できない	利用していない/判断できない	3:どちらともいえない	2:あまり貢献しなかった	セキュリティー周りの相談（暗号化について）	30-50%程度	あまり変わらない	あまり変わらない	あまり変わらない	あまり変わらない	30-50%程度	50%以上	期待通りの提案やアイデアが出てこないことがある, AIはExelやPPTの図形で作成した図があんまり理解できない。																								3:普通	ツールに関する最新情報の共有	
6/10/2025 10:05:51	2025年5月	ディレクターチーム	毎日	ほとんど利用しない	月に数回	利用したことがない	利用したことがない	利用したことがない	月に数回	顧客要望や既存資料の要約、整理, 企画・提案書の構成検討、ドラフト作成, UI画面イメージの作成、プロトタイピング	4:貢献した	3:どちらともいえない	4:貢献した	利用していない/判断できない	利用していない/判断できない	利用していない/判断できない	4:貢献した	elTAXについて調べてもらって、情報の整理が出来ました。	あまり変わらない	あまり変わらない	10-20%程度	あまり変わらない	あまり変わらない	10-20%程度	10-20%程度	複雑なニュアンスや前提条件をAIに伝えるのが難しい, 期待通りの提案やアイデアが出てこないことがある, 最新情報や社内固有の知識への対応が不十分, AIによる出力結果の確認・修正に時間がかかる場合がある																								2:あまり知らない	効果的なプロンプトの作成方法に関するトレーニング	アンケートのAI活用項目に、「情報収集、調査」の項目があるといいと思います。
7/1/2025 10:25:39	2025年6月	エンジニアリングチーム																									毎日	毎日	月に数回	毎日	ほとんど利用しない			4:貢献した	4:貢献した	4:貢献した	利用していない/判断できない	4:貢献した			情報収集・調査, 技術的な調査、問題解決のための情報収集, 設計内容の検討、整理, コーディング, 単体テスト作業（テストケース作成・実行）, レビュー（コードや設計）	10-20%程度	10-20%程度	10-20%程度	30-50%程度	30-50%程度			単体テストコードが不十分または不正確なことがある	3:普通	効果的なプロンプトの作成方法に関するトレーニング	
